 culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id
,,,,,,,,,,,,,,
   ser, f,37,19790601, , sam, maretic, vic, ringwood north,2487,1, hicks street, , 08 78411555,7067876
,,,,,,,,,,,,,,
   chi, f,33,19831028, , jacob, dai, nsw, ashbury,6450,16, brimage place, unt 1, 02 78791207,3004448
,,,,,,,,,,,,,,
   usa, ,33, , , benedict, serrano, , werrington,4715,93, bourne street, garden settlement, 03 68695475,6502461
,,,,,,,,,,,,,,
   unk, m,38,19780826, , emiily, scjum, vic, rocklyn,3518,27, cobby street, , ,1236660
,,,,,,,,,,,,,,
   chi, ,28,19881027, , dylan, wan, wa, angelo river,6163,18, marsden street, brentwood vlge, 8 86916740,7344317
,,,,,,,,,,,,,,
   usa, m, ,19520824, , devan, dean, nsw, mayfield east,2132,1, jansz crescent, , 2 17331126,1175511
,,,,,,,,,,,,,,
   ind, f, ,19711212, , jackson, shrestha, nsw, balwyn north,4130,13, payne place, gwandalan, 2 64191663,3748138
,,,,,,,,,,,,,,
   jap, f,34,19820807, , madison, higo, nsw, anna bay,6148,28, duffy street, mundine 30 km, 612 91284441,8978826
,,,,,,,,,,,,,,
 unk, ,40,19760708, , alana, strangway, vic, kerang,2170,23, wade wtreet, , 618 87239982,1177006
,,,,,,,,,,,,,,
   unk, f,29,19870627, , luke, abbatista, qld, hurstbridge,3840,9, waller crescent, , 03 95173801,6279571
,,,,,,,,,,,,,,
   ina, f, ,19070225, , kirra, iskandar, qld, thornville,3782,107, powell street, , 3 02419842,1552946
,,,,,,,,,,,,,,
   ita, f,27,19890517, ms, elijah, longari, vic, aldinga beach,3377,23, darwinia terrace, , 618 20297150,2304647
,,,,,,,,,,,,,,
   usa, f,33,19830403, ms, joshua, tanner, qld, camoola,4031,1, buckmaster crescent, kokoda hostel, 613 24535040,4365511
,,,,,,,,,,,,,,
   eng, f,20,19960818, , dylan, sniders, qld, oombabeer,3355,103, bandjalong crescent, beauchamp street, 02 13749161,7582136
,,,,,,,,,,,,,,
   eng, m,32,19840119, mr, william, fairbairn, , newmarket,3561,33, dalabon crescent, , 07 05653113,3244588
,,,,,,,,,,,,,,
   ser, f,35,19810205, , , revic, nsw, banora point,2036,56, munro street, , 612 70809008,3752733
,,,,,,,,,,,,,,
   wel, f, ,19051005, dr, james, trevor, wa, witchcliffe,4075,12, mackellar crescent, danric lodge, 618 61062479,6013222
,,,,,,,,,,,,,,
   tur, f, ,19411210, , joshua, zafer, vic, violet town,3357,30, eve place, , 04 29016810,3329944
,,,,,,,,,,,,,,
   eng, ,34,19820814, , katelyn, quigley, vic, boolarra,4121,22, o'shanassy street, cherokee vlge, 618 86411917,6408169
,,,,,,,,,,,,,,
   ind, f, ,19320229, dr, kyle, ponnekanti, vic, alphington,2114,57, trigg place, , 08 29794100,1111612
,,,,,,,,,,,,,,
   eng, f,24, , , , quick, nsw, ladysmith,2747,5, bendora crescent, , 02 79107572,4964990
,,,,,,,,,,,,,,
   ser, ,34, , , georgia, soric, nsw, thornleigh,4210,2, cockcroft avenue, brentwood village, 04 89009081,1935817
,,,,,,,,,,,,,,
   eng, m,32,19840716, , darcy, bloxham, nsw, north star,2752,182, fisher street, , 02 04035951,6076987
,,,,,,,,,,,,,,
   pak, m,29,19871224, , jakob, kohistani, vic, callignee,2060,226, marconi crescent, , 618 26419572,3193771
,,,,,,,,,,,,,,
   spa, f,31,19850824, , kyle, deferr, vic, brookvale,3149,2, epenarra close, glenferrie park, 08 07942791,1402595
,,,,,,,,,,,,,,
   ind, f, ,19620822, , callum, subbarayudu, wa, beckenham,4109,116, london circuit, pine dale, 618 85997629,2914455
,,,,,,,,,,,,,,
   spa, m,9,20070406, , henry, vera, vic, three bridges,5159,67, marika street, , 618 16173701,3072578
