 culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id
,,,,,,,,,,,,,,
   , f,27, , mr, jamie, grimm, vic, childers,5074,48, pierces creek street, , 8 32875906,4328474
,,,,,,,,,,,,,,
   unk, m, ,19430904, dr, kyle, scollard, vic, tenby point,3002,48, , , 02 94061063,9632985
,,,,,,,,,,,,,,
   ind, m,24,19921014, ms, alicia, ramji, nsw, whian whian,2541,1012, findon place, , 02 35130264,7264008
,,,,,,,,,,,,,,
   usa, f, ,19421013, , hayley, pruitt, , brisbane,5608,31, strehlow place, , 02 80011909,4171908
,,,,,,,,,,,,,,
   eng, f,40,19760913, , thomas, merricks, wa, dulbelling,2450,17, druitt place, waioma, 618 04666875,7416192
,,,,,,,,,,,,,,
   dut, f,33,19830907, ms, tahnee, roggeveen, qld, eli waters,2880,10, renny place, , 3 44388016,8062649
,,,,,,,,,,,,,,
   unk, f,27,19890216, , riley, aaberg, , port kembla,3089,1686, fiveash street, , 07 24227155,4907504
,,,,,,,,,,,,,,
   unk, f,19, , , caleb, aaron, vic, milloo,4118,53, malara street, manila, 618 63883863,5040720
,,,,,,,,,,,,,,
   gre, f,33,19830319, mr, thomas, dimitrakos, qld, west prairie,4807,14, oakover circuit, , ,5406262
,,,,,,,,,,,,,,
   usa, f,21,19951011, ms, riley, bridges, vic, macorna,2506,5, hatch place, , 618 91610294,7832532
,,,,,,,,,,,,,,
   unk, f,36,19801112, ms, kelsey, strapp, tas, karanja,3031,395, maranoa street, , 7 81932432,4288975
,,,,,,,,,,,,,,
   usa, f,27,19890802, , madison, brock, vic, dean park,5162,30, , lazee m, ,4384769
,,,,,,,,,,,,,,
   usa, f,38,19780327, , james, hines, tas, south hobart,3183,36, laptz close, , 7 21553791,7312977
,,,,,,,,,,,,,,
   eng, m,9,20071211, mr, jarryd, clawson, nsw, erina heights,5575,224, preston street, , 02 71165892,5319688
,,,,,,,,,,,,,,
   ser, m,11,20051102, , harrison, vucinich, sa, bilgola plateau,4011,144, grimmett close, , 08 43744575,6069502
,,,,,,,,,,,,,,
   usa, f,31,19850419, mr, john-paul, lambert, nsw, gloucester,3180,16, , eulalia, 08 09249162,1910223
,,,,,,,,,,,,,,
   eng, f,26,19900715, ms, calvin, josephson, vic, norlane,3073,6, esau place, , 08 60286143,9388712
,,,,,,,,,,,,,,
