culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number
,,,,,,,,,,,,,,,
chi, f,20,19961207, , ruby, gang, vic, sebastian,2132, , kieran place, , 08 96844974,6359111,2
,,,,,,,,,,,,,,,
eng, , ,19181001, , lewis, abrahams, vic, barnadown,5343,53, macgregor street, , ,2886077,1
,,,,,,,,,,,,,,,
eng, f,34,19820330, , zane, wortham, nsw, neilrex,3260,15, kangaroo court, , 03 64353064,9234473,9
,,,,,,,,,,,,,,,
chi, f, ,19420914, , charlotte, puo, qld, blanchview,2177,18, derrington crescent, , 3 60807898,7272899,4
,,,,,,,,,,,,,,,
usa, f,34,19820201, , luca, young, nsw, bega,2030, , garanya street, , 2 37286905,9768638,9
,,,,,,,,,,,,,,,
eng, ,27,19890105, , caitlyn, hackett, nsw, aberdeen,4670,29, raiwalla court, oxley hill, 2 68444498,1708214,1
,,,,,,,,,,,,,,,
unk, m,7,20091025, mr, elizabeth, strapp, vic, meerlieu,4818,26, derrington crescent, sec 202, 8 88724695,7332889,6
,,,,,,,,,,,,,,,
unk, ,23,19931008, , ashleigh, abat, vic, watsonia,4305,4, fawkner street, , 8 55943973,9430551,7
,,,,,,,,,,,,,,,
ser, f, , , , olivia, vucinich, act, fyshwick,2617,32, tolmer place, wollongbar, 02 10706543,3750961,7
,,,,,,,,,,,,,,,
por, f,29,19871013, , kane, pitta, nsw, hermidale,2487,37, london circuit, , 03 69459672,1072658,0
,,,,,,,,,,,,,,,
unk, f, ,19040829, , kristin, aarcy, qld, yugar,6208,3, newman morris circuit, rye park, 3 20846222,6113648,5
,,,,,,,,,,,,,,,
usa, m, ,19600322, , jasper, davies, wa, walgoolan,4220,12, kavel street, , 8 63869877,5404138,0
,,,,,,,,,,,,,,,
usa, f,30, , , joshua, frank, vic, nhill,2144,72, durville crescent, mountain view village, ,3861281,7
,,,,,,,,,,,,,,,
ind, f,13,20030611, ms, kiara, mukku, nsw, beecroft,2671,360, jindivik place, the sycamores, 612 74133232,8279277,2
,,,,,,,,,,,,,,,
usa, ,9,20070306, ms, jackson, marks, tas, garden island creek,4300,25, fink crescent, , 617 64712056,2979730,6
,,,,,,,,,,,,,,,
eng, f,22, , , ty, jamison, nsw, blacckbutt,4217,100, elwick place, , 2 73780539,1913172,3
,,,,,,,,,,,,,,,
usa, f,43,19730218, , jason, jones, , narrogin,3150,33, kurrama close, , ,1651708,2
,,,,,,,,,,,,,,,
usa, f,32,19840111, dr, joshua, turner, nsw, clarence,2428,9, berrigan crescent, , ,8429564,9
,,,,,,,,,,,,,,,
fin, f, ,19910315, ms, danielle, vataren, nsw, hoxton park,2171,311, dumas street, , 612 43177133,1378678,4
,,,,,,,,,,,,,,,
unk, f,35,19810221, dr, ka, strainij, nsw, five dock,5062,28, bissenberger crescent, , 02 73079180,7413313,5
,,,,,,,,,,,,,,,
ind, f,36,19800820, ms, hayden, rajwani, qld, meadowvale,3037,5, ashley drive, ra 23012, 04 26176599,3999912,9
,,,,,,,,,,,,,,,
eng, f,22, , , ty, jamison, nsw, blackbutt,4217,100, elwick place, , 2 73780539,1913172,3
,,,,,,,,,,,,,,,
, f,38,19780807, , kaela, ilczak, qld, sunnyside,3030,8, michie street, glamiston, 3 13548498,4154943,0
,,,,,,,,,,,,,,,
usa, f,23,19930421, mr, tylah, beard, nsw, miranda,5353,409, morrow street, cottonwood, 612 19817716,9651073,6
,,,,,,,,,,,,,,,
ger, f, ,19831011, , beth, benz, , maryborough,3056,7, allan street, , 03 51569515,5147162,1
,,,,,,,,,,,,,,,
ser, ,27,19890122, , william, , qld, camoola,2749,30, summerville crescent, , 613 47526186,4307449,4
,,,,,,,,,,,,,,,
chi, f, ,19120709, , imogen, toi, qld, cranley,3815,9, rivett street, , 03 74993587,1680449,2
,,,,,,,,,,,,,,,
ind, m,34,19820702, , angus, , qld, orallo,2100,5, alawa street, , ,7197909,5
,,,,,,,,,,,,,,,
fin, m,8, , mr, lachlan, sievinen, qld, cairns,3222,308, strzelecki crescent, taskers village, 03 00324769,6262042,1
,,,,,,,,,,,,,,,
unk, m,27, , , aleisha, strahn, sa, belair,5606,8, cussen street, dudley specialist medical centre, 03 57909994,3797366,3
,,,,,,,,,,,,,,,
usa, m, ,19140107, mr, joshua, roach, qld, innisfail,3377,6, barrett street, emerandi, 02 82671821,3960775,1
,,,,,,,,,,,,,,,
ind, f,34,19820523, , chloe, khattqr, qld, dingo,3054,20, harry hopman circuit, , 3 07403747,2676900,9
,,,,,,,,,,,,,,,
usa, f,26,19900717, , stephanie, short, nsw, nowendoc,3132,3, rene street, rowethorpe court units, 02 52131853,5671722,4
,,,,,,,,,,,,,,,
unk, f,9,20070227, , genevieve, scolastique, , new town,4173,41, burn street, , 04 89097009,8460963,3
,,,,,,,,,,,,,,,
usa, ,24,19920509, , alexia, adams, vic, chetwynd,6152,12, hindmarsh drive, , 8 28530225,5127748,1
,,,,,,,,,,,,,,,
, ,36,19800913, , nikita, shepherd, qld, upper haughton,4507,4, moynihan street, , 3 75234085,2424670,4
,,,,,,,,,,,,,,,
ind, f,29,19870703, , luke, vaidhyanathan, qld, macfarlane,4519,3203, galibal street, maydale, 03 88000286,8588610,5
,,,,,,,,,,,,,,,
ind, m,32, , , emiily, rabind ran, nsw, niagara park,5341,20, ligertwood street, , 612 32402143,8792279,7
,,,,,,,,,,,,,,,
chi, m, , , ms, ned, thien, nsw, coraki,2034,854, william hudson crescent, stump jump, 2 38428743,1401169,4
,,,,,,,,,,,,,,,
eng, , ,19181001, , lew, abrahams, vic, barnadown,5343,53, macgregor street, , ,2886077,1
,,,,,,,,,,,,,,,
eng, f, , , , braedon, attwater, vic, birkdale,6061,13, macleay street, , 8 29161737,5207291,1
,,,,,,,,,,,,,,,
fre, f,29,19870718, mr, georgia, gautier, act, mcdowall,6530,57, chaton place, brambletye vinyard, 02 24736105,3603545,8
,,,,,,,,,,,,,,,
ira, ,36,19801223, , katelyn, esfandiari, wa, pingrup,2221,32, bainton crescent, , 08 81888706,1715331,8
,,,,,,,,,,,,,,,
eng, m, ,19840229, , quinn, jeffers, nsw, creswick,5012,91, antill street, craigie avenue, 2 48516736,1223063,4
,,,,,,,,,,,,,,,
usa, m, ,19600322, , jaspef, davies, wa, walgoolan,4220,12, kavel street, , 8 63869877,5404138,0
,,,,,,,,,,,,,,,
unk, f,29,19870518, , sophie, streich, vic, lakemba,880,18, watling place, , 618 01194826,2916405,4
,,,,,,,,,,,,,,,
dan, ,28,19881015, , joel, kaustrop, nsw, corindi beach,3854,16, echo place, dockside marina b, 02 08538131,8897673,9
,,,,,,,,,,,,,,,
ger, ,39, , ms, esme, rot, nsw, kariong,4164,11, jacka crescent, eureka, 2 10149161,1543125,5
,,,,,,,,,,,,,,,
usa, f,41,19751123, , savannah, berger, nsw, bumbaldry,2112,7, skertchly place, , 02 87987626,5811242,3
,,,,,,,,,,,,,,,
ser, f,25,19910923, , madeleine, mladvic, vic, irrewarra,3190,3, twine place, , 08 86799021,7785698,0
,,,,,,,,,,,,,,,
, f,27,19891009, , jake, thavarajadeva, qld, widgee crossing south,3143,21, jaques place, hawksview, 3 54405046,1830009,1
,,,,,,,,,,,,,,,
usa, f,25,19910418, , olivia, guy, vic, noorat,4213,6, hancock street, eagle rock, 8 98441413,1436264,7
,,,,,,,,,,,,,,,
ser, f,31,19850403, , samuel, beslavic, nsw, bilbul,2650,55, demaine crescent, , 02 28609946,5553854,4
,,,,,,,,,,,,,,,
usa, f,26,19901227, , adam, lloyd, , taree,4500,10, ebeling court, galloway, 04 31477214,1358752,2
,,,,,,,,,,,,,,,
unk, ,23,19931104, , alannah, strawbridge, sa, eudunda,3250,25, light street, condavale, 07 69815016,2963439,5
,,,,,,,,,,,,,,,
tur, m,19,19970326, , michael, alfanari, vic, woollahra,2571,247, carrington street, , 8 25238234,9466200,2
,,,,,,,,,,,,,,,
eng, f, ,19501121, ms, sascha, ryers, vic, st kilda east,4740,87, hawkesbury crescent, , 618 68549326,8223655,5
,,,,,,,,,,,,,,,
usa, f,10,20060101, , isabella, mejia, qld, eromanga,3401,7, darby street, , 613 48535948,6492260,8
,,,,,,,,,,,,,,,
ind, f,21,19951218, ms, samantha, sadarangani, wa, henley brook,2068,25, bandjalong crescent, fairbank, 03 12800855,9789521,4
,,,,,,,,,,,,,,,
eng, f, ,19330207, , charlotte, lund, vic, goughs bay,2350, , gluyas street, , 08 32323589,9059677,2
,,,,,,,,,,,,,,,
ina, f,38,19780828, , bethanie, siregar, qld, bunya,2284,13, maribyrnong avenue, belmont bayview park, 613 69795218,8524054,1
,,,,,,,,,,,,,,,
usa, f, ,19620709, , matthew, palmer, vic, tooborac,2030,226, marr street, arabian stud kelkette park, 08 44178306,7606621,5
,,,,,,,,,,,,,,,
eng, f,25,19910126, pfc, jock, isaacson, qld, taabinga,3305,101, louis loder street, , 613 34576373,3962928,8
,,,,,,,,,,,,,,,
fre, m,30,19860703, , michael, guillon, nsw, unanderra,3690,87, kingsmill street, , 2 25058066,6454032,9
,,,,,,,,,,,,,,,
, f,38,19780807, , kaela, ilczak, qld, sunnyside,3030,1, michie street, glamiston, 3 13548498,4154943,0
,,,,,,,,,,,,,,,
afr, m,7,20090725, , benjamin, lule, , kellyville,3178,17, naas close, lee valley, 08 99738558,1999391,8
,,,,,,,,,,,,,,,
eng, m,27,19890209, hon, adela, haggard, wa, minding,2079, , max henry crescent, dunmunkle lodge, 08 95711015,4656735,4
,,,,,,,,,,,,,,,
ina, f,32,19840726, pfc, hugo, white, , thornlands,2250,28, ross smith crescent, colooli village, 08 19717771,1947125,6
,,,,,,,,,,,,,,,
usa, f,23,19931224, , , lowe, nsw, glen william,2800,122, sculptor street, north walmer, 2 33314270,6005789,8
,,,,,,,,,,,,,,,
eng, f,23,19930902, hon, thomas, jeffries, , bridgewater,3171,24, weddin circuit, , 02 47794645,7317425,9
,,,,,,,,,,,,,,,
ser, f,42,19741217, , joshua, dedic, nsw, queanbeyan east,3280,13, paul place, , 2 51332085,1183765,4
,,,,,,,,,,,,,,,
eng, f, ,19980227, ms, jackson, dennell, , buninyong,2583,20, marulda street, pine view, 07 66654092,7252934,4
,,,,,,,,,,,,,,,
usa, m,29,19870427, , joshua, elliott, vic, ringwood east,2307,6, kiewa street, , 8 93129164,7055633,0
,,,,,,,,,,,,,,,
eng, f, ,19490604, , bianca, martins, vic, blackburn,2541,5, stanley street, rivonia, 618 00554802,5007204,0
,,,,,,,,,,,,,,,
por, f,32,19840101, mr, dylan, resende, act, amaroo,3032,4, padbury street, , 02 16218681,3806436,6
,,,,,,,,,,,,,,,
usa, ,29,19870315, dr, hayley, aguilar, wa, halls creek,3122,6, mcclintock street, , 08 80895598,9512616,3
,,,,,,,,,,,,,,,
usa, f,30, , ms, erin, russell, nsw, werombi,3941,3, chippindall circuit, apt 211, 2 09262454,5752349,5
,,,,,,,,,,,,,,,
eng, f, ,19660320, , alana, midgley, qld, grantham,4306,15, warramoo crescent, , 03 68829426,3376893,7
,,,,,,,,,,,,,,,
ser, m,21,19950309, , lochlan, banovic, nsw, glencoe,3844,14, berghofer court, , 612 99486829,2048261,3
,,,,,,,,,,,,,,,
eng, f,39, , rev, sybella, tracy, qld, cape hillsborough,3099,22, wybalena grove, el-woodaro, 3 09471924,8357583,0
,,,,,,,,,,,,,,,
eng, f,28,19881223, ms, chelsea, haward, qld, kedron,3991,24, ware place, , 613 08973352,5050423,1
,,,,,,,,,,,,,,,
cze, f,23, , ms, henry, hasprova, nsw, keiraville,2500,242, ebenezer street, , 2 90990229,8999469,0
,,,,,,,,,,,,,,,
chi, ,31,19851017, , emiily, fu, nsw, prairiewood,4650,25, deamer crescent, , 612 04032929,4108655,6
,,,,,,,,,,,,,,,
ind, m,32, , , emiily, rabindran, nsw, niagara park,5341,20, ligertwood street, , 612 32402143,8792279,7
,,,,,,,,,,,,,,,
unk, f, ,19280503, , taylah, strawbridge, vic, oxley,4120,58, power street, , 618 15438015,6994527,1
,,,,,,,,,,,,,,,
usa, f,11,20050924, , amber, farmer, wa, muntadgin,6006,13, hinkler street, trevena, 618 60486496,9993789,7
,,,,,,,,,,,,,,,
usa, f,31,19851011, , giorgia, huber, qld, birkdale,4178,1, maltby circuit, , ,3003575,4
,,,,,,,,,,,,,,,
ind, f,28,19880624, , xani, lalli, nsw, rose bay,4521,507, moore street, , 612 22644714,3130428,7
,,,,,,,,,,,,,,,
pol, f,35,19810829, , louis, buch, nsw, oaklands,6432,7, mirrabucca crescent, hd talunga, ,3920681,7
,,,,,,,,,,,,,,,
usa, , ,19070218, , cooper, richards, qld, canungra,3124,128, jansz crescent, tory park, 613 76917780,4127417,5
,,,,,,,,,,,,,,,
ser, f,42,19741217, , zoshua, dedic, nsw, queanbeyan east,3280,13, paul place, , 2 51332085,1183765,4
,,,,,,,,,,,,,,,
ina, f,32,19840726, pfc, hugo, siregar, , thornlands,2250,28, ross smith crescent, colooli village, 08 19717771,1947125,6
,,,,,,,,,,,,,,,
ser, m,38,19780528, ms, bayden, milanova, qld, emerald,7316,15, fremantle drive, medical centre, ,8788257,4
,,,,,,,,,,,,,,,
eng, f, , , , braedon, attwater, vic, birkdale,6061,13, makleay street, , 8 29161737,5207291,1
,,,,,,,,,,,,,,,
ser, ,27,19890122, , willi m, , qld, camoola,2749,30, summerville crescent, , 613 47526186,4307449,4
,,,,,,,,,,,,,,,
unk, f, ,19900718, ms, annalise, strehovski, nsw, kingsdale,4218,57, keverstone circuit, , 2 49276163,1985408,0
,,,,,,,,,,,,,,,
pol, f,19, , , montana, dzielwialtowski, wa, lange,2780,25, rankin street, , 618 64849118,3650173,8
,,,,,,,,,,,,,,,
sri, m, ,19300622, ms, elana, muralitharan, vic, lindenow south,6061,44, halford crescent, , 08 78794385,7701704,7
,,,,,,,,,,,,,,,
eng, , ,19211203, , tara, , qld, north talwood,3805,32, cromwell circuit, kioloa park, 3 91514183,3825770,3
,,,,,,,,,,,,,,,
dan, f,36,19800503, , jessica, jepsen, , avondale heights,2027,11, o'rourke street, lowes peak, 04 81169019,4421871,0
,,,,,,,,,,,,,,,
, f,29,19870413, , mia, mahony, qld, cannon hill,4508,3, osborne place, , ,5923572,4
,,,,,,,,,,,,,,,
chi, f,34,19820711, , lachlan, que, vic, forest hill,4871,2490, jennings street, , 618 63475584,6276595,1
,,,,,,,,,,,,,,,
chi, f,29,19870311, ms, connor, ho, qld, hay point,3150,7, downing place, , 613 02795159,6424406,3
,,,,,,,,,,,,,,,
unk, f,29,19870518, , sophie, streich, fic, lakemba,880,18, watling place, , 618 01194826,2916405,4
,,,,,,,,,,,,,,,
usa, ,25,19910925, dr, max, , qld, nunawading,2615,79, arabanoo crescent, mirra monte, 03 40190110,9147194,5
,,,,,,,,,,,,,,,
fin, f,10,20061101, , jayden, haapakoski, qld, north branch,6210,15, perrin circuit, strathlea, 3 24330736,1762901,8
,,,,,,,,,,,,,,,
unk, f,13, , ms, emiily, aani, vic, alphington,3960,22, abbott street, southern aged care, 618 17552241,9704288,7
,,,,,,,,,,,,,,,
unk, m,31,19850403, dr, william, strawbridge, nsw, cromer,3071,48, maribyrnong avenue, , 07 01706906,2742433,4
,,,,,,,,,,,,,,,
afg, f,30,19861216, , nikki, rahmani, nsw, brookfield,2530,33, goyder street, , 04 34923473,6718249,1
,,,,,,,,,,,,,,,
eng, ,27,19890316, dr, , merchant, vic, nambrok,3976,12, mccool place, gibraltar, 618 16605431,3102956,5
