 culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number
,,,,,,,,,,,,,,,
   eng, f,25,19911212, , freya, sempers, vic, patchewollock,3165,13, dartnell street, , 618 81838414,5521920,8
,,,,,,,,,,,,,,,
   usa, ,31,19850707, , melanie, nash, wa, collie burn,2036,16, keverstone circuit, , 8 14975204,4946074,2
,,,,,,,,,,,,,,,
   unk, ,38,19781026, , jack, aani, , tweed heads south,6511,218, wilkins street, tylden park, 08 74318782,9128744,5
,,,,,,,,,,,,,,,
   eng, ,25,19910219, ms, stephanie, appleton, nsw, adamstown heights,3088,35, macedon crescent, , 612 74067798,1388292,4
,,,,,,,,,,,,,,,
   chi, f,31,19850224, , tyron, sheungkwun, act, conder,2330, , goodenia street, lazy acres, 02 98171656,4343699,5
,,,,,,,,,,,,,,,
   jap, f,24,19920516, , jay, shunji, nsw, narara,3509,10, wyatt place, , 2 26914170,9779773,3
,,,,,,,,,,,,,,,
   usa, m, ,19921002, ms, lillian, kemp, nsw, soldiers point,2558,7, gurnai place, , 02 96473666,6051784,1
,,,,,,,,,,,,,,,
   unk, f,30,19860510, , ebony, abat, qld, geham,4019,47, tingha place, , 613 27312010,1890356,6
,,,,,,,,,,,,,,,
   usa, m,35,19810409, ms, finn, morris, sa, daw park,2905,24, woolner circuit, , 7 14154418,3672680,1
,,,,,,,,,,,,,,,
   usa, ,23, , pfc, charlotte, murphy, nsw, scarborough,2200,17, hudson street, , 612 05794351,8208694,1
,,,,,,,,,,,,,,,
   eng, , ,19170724, , james, rutherfurd, vic, gunbower,3199,7, swinden street, rubern cottage, 8 49000756,6514797,7
,,,,,,,,,,,,,,,
   unk, ,27,19890224, , jake, sckel, nsw, old bar,7316,168, jardine street, , 612 24535524,7743642,9
,,,,,,,,,,,,,,,
 usa, m,25,19911006, pfc, campbell, tucker, nsw, upper rouchel,6239,13, balanu place, , 2 46733588,3961219,9
,,,,,,,,,,,,,,,
   usa, f,21,19950130, ms, isaac, bass, nsw, capertee,2112,108, freney place, kookaburra village, 612 75956915,4254756,2
,,,,,,,,,,,,,,,
   abo, f,25,19910606, , roy, worosun, qld, south mackay,4211,2, langdon avenue, , 613 96799503,5257094,7
,,,,,,,,,,,,,,,
   usa, f,34,19820531, dr, laura, hoffman, nsw, woodstock,2066,99, powlett street, sunny valley, 02 57999933,5325602,4
,,,,,,,,,,,,,,,
   , f, ,19980428, , joshua, bishop, vic, cundare north,4152,5, bremer street, , 618 47557848,4374872,9
,,,,,,,,,,,,,,,
   ind, f,28,19881002, , monique, bambhra, , waratah west,2322,41, staaten crescent, guest hse, 04 92379254,2758383,4
,,,,,,,,,,,,,,,
   ser, f,22,19940729, , carly, suljic, nsw, bostobrick,5035,582, bruny place, , 612 07287360,5777054,5
,,,,,,,,,,,,,,,
   eng, f,37,19791026, ms, lachlan, vipond, sa, arkaroola village,2261,3, arabana street, alabama, 617 92307048,4152987,4
,,,,,,,,,,,,,,,
   ger, f,30,19860315, hon, courtney, haverfldt, qld, hampden,2070,12, robinson street, keilor retirement home, 03 00298864,8674979,8
,,,,,,,,,,,,,,,
   eng, f,30,19860313, , neve, quincey, nsw, bookham,3300,10, heysen street, , 02 67518915,2331195,3
,,,,,,,,,,,,,,,
   usa, f,34,19820129, , archie, pitts, vic, rokewood,3021,14, keys crescent, , 8 62819429,1866323,9
,,,,,,,,,,,,,,,
   eng, f,31,19850903, mr, lucas, pemberton, act, melba,3143,58, bisdee street, , 2 27780180,9894383,7
,,,,,,,,,,,,,,,
   usa, f,29,19871215, , jye, ortega, nsw, birrong,4680,106, crisp circuit, , 612 52992450,5586068,7
,,,,,,,,,,,,,,,
   eng, f,8,20080813, , brendan, haggard, sa, rendelsham,6405,11, box hill avenue, ptswrth retire vlg, 7 17394323,6635213,1
,,,,,,,,,,,,,,,
   ind, f,28,19880512, , stephanie, khemani, vic, willung south,4020,3, higinbotham street, morago, 618 03925983,5647366,5
,,,,,,,,,,,,,,,
   fin, f, ,19730908, dr, jake, koskela, sa, frewville,6008,270, chapman street, davrnpk, 07 35136376,5602298,2
,,,,,,,,,,,,,,,
   eng, f,9, , , maddison, triggs, vic, lysterfield south,2049,61, collyburl crescent, , 8 82762942,6592599,4
,,,,,,,,,,,,,,,
   chi, ,24,19921227, , luke, chai, sa, belair,2101,53, rossarden street, gillin park, 617 50087544,5712342,2
,,,,,,,,,,,,,,,
   vie, m, ,19641030, mr, patrick, thach, nsw, rockdale,2325,97, mcgill street, lower lake, 02 22801352,7449390,1
,,,,,,,,,,,,,,,
   usa, f,36,19800520, mr, matthew, bernard, nsw, lavington,3912,16, clemenger street, , 04 64171612,9363710,9
,,,,,,,,,,,,,,,
   unk, f,24,19920830, , alexander, scofield, vic, dandenong,3047,33, bennetts close, , 08 72308167,4814925,4
,,,,,,,,,,,,,,,
   dut, m, ,19231019, , nathan, some, vic, woodfield,2141,116, crowder circuit, , 08 56373246,9219822,3
,,,,,,,,,,,,,,,
   tha, m,35,19810428, pfc, makayla, samak, , mount gravatt,2206,14, goessling place, willoeie, 08 25160179,7876075,7
,,,,,,,,,,,,,,,
   ind, f,37,19790302, , alexandra, rangwala, qld, avalon,2094,3, ern florence crescent, , 03 18936547,7448846,5
,,,,,,,,,,,,,,,
   ger, ,30,19860225, hon, robert, feitz, tas, kempton,5161,2, bootle place, , 04 09541667,2438236,3
,,,,,,,,,,,,,,,
   unk, ,10,20060102, , kadin, strazzari, wa, lake deborah,2011,15, woralul street, , 618 53321937,7183942,4
,,,,,,,,,,,,,,,
   swe, m,26,19900716, , phoebe, jaerbyn, , windella,3810,51, must circuit, , 02 56103282,4571585,7
,,,,,,,,,,,,,,,
   wel, f,27,19891029, , zachariah, gwalchmey, vic, beulah,2780,161, clermont street, the meadsows, 618 75281509,8569727,2
,,,,,,,,,,,,,,,
   eng, f, ,19751102, , alexandra, attwater, qld, peregian beach,2064,56, kalgoorlie crescent, , 03 87013545,6568953,4
,,,,,,,,,,,,,,,
   rus, f,33,19830716, , , palamarchek, vic, tambo upper,5092,161, ellerston avenue, , 8 00952034,5413728,4
,,,,,,,,,,,,,,,
   ser, ,31, , hon, toby, madzarevic, vic, gilderoy,2567,1, wollaston place, , 618 88702306,1508256,9
,,,,,,,,,,,,,,,
   unk, f,36,19800306, ms, jessica, strampher, vic, swifts creek,4129,8, torrens street, taronga, 618 99782857,3031934,7
,,,,,,,,,,,,,,,
   usa, f,22,19940401, , william, flowers, vic, rosedale,4113,17, lexcen avenue, kolora, 8 25407135,7636683,3
,,,,,,,,,,,,,,,
   unk, m,30,19860724, ms, oscar, sckel, vic, lemnos,3912,122, , , 04 76348376,3968003,2
,,,,,,,,,,,,,,,
   dan, m, ,19930731, ms, benjamin, halkenhvad, nsw, dorrigo,6330,7, hirschfeld crescent, , ,1527216,8
,,,,,,,,,,,,,,,
   usa, f,26,19900905, , nikki, slater, tas, molesworth,6104, , fullwood street, , 617 03837206,4873998,3
,,,,,,,,,,,,,,,
   eng, f,33,19830417, , jessica, tennison, nsw, banora point,4574,38, moynihan street, walkers orchard, 2 31822489,3563705,6
,,,,,,,,,,,,,,,
   gre, f,37,19790911, mr, ruby, angelomatis, vic, larpent,5290,7, wilson crescent, , 618 27345587,7657181,7
,,,,,,,,,,,,,,,
   usa, f,35,19810306, ms, brayden, melendez, nsw, edgeroi,4380,85, iora place, , 02 64474685,3701479,3
,,,,,,,,,,,,,,,
   usa, , ,19060513, , lauren, ward, nsw, hassall grove,5025,70, sharwood crescent, brambletye vinyard, 02 98145041,3859930,2
,,,,,,,,,,,,,,,
   eng, f,40,19761216, , andrew, earl, nsw, tyalgum,2530,145, mcintosh street, oakbank, 2 08191346,5456945,3
,,,,,,,,,,,,,,,
   pol, f,30,19861121, , olivia, danilczyk, wa, hammond park,6008,10, hinkler street, , 618 89505531,6058234,5
,,,,,,,,,,,,,,,
   eng, , ,19260907, ms, zane, hendry, sa, corny point,5271,440, jefferis street, glenhay, 7 34710867,7935424,6
,,,,,,,,,,,,,,,
   ser, f,8,20080426, , mitchell, strapovic, sa, mil-lel,2031,52, warring place, , 07 47405868,3595917,7
,,,,,,,,,,,,,,,
   usa, f,32,19840215, ms, tansy, hughes, nsw, enmore,5006,22, allman circuit, apt 27, 2 29472384,7992709,5
,,,,,,,,,,,,,,,
   eng, f,23,19931130, ms, dominic, martins, , parkinson,4560,20, de burgh street, , 07 62903825,2411399,1
,,,,,,,,,,,,,,,
   vie, f,11,20050404, , olivia, cao, nsw, laggan,2111,3, duffy street, , 612 90018999,4938638,9
,,,,,,,,,,,,,,,
   chi, f,25,19910914, , kyra, gu, nsw, avoca,3875,43, erldunda circuit, st john of god hospital, 2 64433172,1856913,5
,,,,,,,,,,,,,,,
   eng, f,38, , dr, billy, rupertson, nsw, woongarrah,6018,2, forwood street, yilgarnia, 02 84506516,9850737,6
